gallery_id,post_num,title,content,writer,date,view_count,recommend,comments,comment_count,search_keyword,url,full_text,comments_text,all_text,cleaned_text,sentiment_compound,sentiment_category,view_count_num,recommend_num,month
dog,10000,화물칸 온도 조절 어떻게 되는지 궁금,해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요. 화물칸이 안전한지 정말 걱정됩니다.,user000,2024.03.13,1076,6,"['스트레스 완화용 페로몬 스프레이 추천', '화물칸 온도는 일정하게 유지됩니다', '경험상 대형 항공사가 더 안전해요']",3,펫캐리어,https://gall.dcinside.com/board/view/?id=dog&no=10000,화물칸 온도 조절 어떻게 되는지 궁금 해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요. 화물칸이 안전한지 정말 걱정됩니다.,스트레스 완화용 페로몬 스프레이 추천 화물칸 온도는 일정하게 유지됩니다 경험상 대형 항공사가 더 안전해요,화물칸 온도 조절 어떻게 되는지 궁금 해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요. 화물칸이 안전한지 정말 걱정됩니다. 스트레스 완화용 페로몬 스프레이 추천 화물칸 온도는 일정하게 유지됩니다 경험상 대형 항공사가 더 안전해요,화물칸 온도 조절 어떻게 되는지 궁금 해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요 화물칸이 안전한지 정말 걱정됩니다 스트레스 완화용 페로몬 스프레이 추천 화물칸 온도는 일정하게 유지됩니다 경험상 대형 항공사가 더 안전해요,0.8,positive,1076,6,03
cat,10001,반려동물 항공 운송 관련 보험 있나요?,진정제를 먹여야 하는지 수의사와 상담했는데 의견이 분분하더라고요. 경험 있으신 분 조언 부탁드려요.,user001,2024.05.09,733,39,"['스트레스 완화용 페로몬 스프레이 추천', '성공 경험담 공유해드릴게요', '화물칸 온도는 일정하게 유지됩니다', '진정제는 오히려 위험할 수 있어요', '저도 같은 고민이에요']",5,강아지 비행기,https://gall.dcinside.com/board/view/?id=dog&no=10001,반려동물 항공 운송 관련 보험 있나요? 진정제를 먹여야 하는지 수의사와 상담했는데 의견이 분분하더라고요. 경험 있으신 분 조언 부탁드려요.,스트레스 완화용 페로몬 스프레이 추천 성공 경험담 공유해드릴게요 화물칸 온도는 일정하게 유지됩니다 진정제는 오히려 위험할 수 있어요 저도 같은 고민이에요,반려동물 항공 운송 관련 보험 있나요? 진정제를 먹여야 하는지 수의사와 상담했는데 의견이 분분하더라고요. 경험 있으신 분 조언 부탁드려요. 스트레스 완화용 페로몬 스프레이 추천 성공 경험담 공유해드릴게요 화물칸 온도는 일정하게 유지됩니다 진정제는 오히려 위험할 수 있어요 저도 같은 고민이에요,반려동물 항공 운송 관련 보험 있나요 진정제를 먹여야 하는지 수의사와 상담했는데 의견이 분분하더라고요 경험 있으신 분 조언 부탁드려요 스트레스 완화용 페로몬 스프레이 추천 성공 경험담 공유해드릴게요 화물칸 온도는 일정하게 유지됩니다 진정제는 오히려 위험할 수 있어요 저도 같은 고민이에요,0.0,neutral,733,39,05
travel,10002,반려견 화물칸 운송 후기 - 스트레스 많이 받네요,반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,user002,2024.08.16,633,8,"['여행 전 건강검진 필수입니다', '경험상 대형 항공사가 더 안전해요', '저도 같은 고민이에요']",3,펫 화물칸,https://gall.dcinside.com/board/view/?id=dog&no=10002,반려견 화물칸 운송 후기 - 스트레스 많이 받네요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,여행 전 건강검진 필수입니다 경험상 대형 항공사가 더 안전해요 저도 같은 고민이에요,반려견 화물칸 운송 후기 - 스트레스 많이 받네요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요. 여행 전 건강검진 필수입니다 경험상 대형 항공사가 더 안전해요 저도 같은 고민이에요,반려견 화물칸 운송 후기 스트레스 많이 받네요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요 여행 전 건강검진 필수입니다 경험상 대형 항공사가 더 안전해요 저도 같은 고민이에요,-0.8,negative,633,8,08
cat,10003,펫캐리어 안에서 강아지가 울면 어떡하죠?,해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요. 화물칸이 안전한지 정말 걱정됩니다.,user003,2024.08.01,894,31,['보험 가입하시는 게 좋아요'],1,비행기 여행,https://gall.dcinside.com/board/view/?id=dog&no=10003,펫캐리어 안에서 강아지가 울면 어떡하죠? 해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요. 화물칸이 안전한지 정말 걱정됩니다.,보험 가입하시는 게 좋아요,펫캐리어 안에서 강아지가 울면 어떡하죠? 해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요. 화물칸이 안전한지 정말 걱정됩니다. 보험 가입하시는 게 좋아요,펫캐리어 안에서 강아지가 울면 어떡하죠 해외 이주 예정인데 강아지를 어떻게 데려갈지 고민이에요 화물칸이 안전한지 정말 걱정됩니다 보험 가입하시는 게 좋아요,0.6,positive,894,31,08
dog,10004,화물칸 환경이 걱정되는데 괜찮을까요?,진정제를 먹여야 하는지 수의사와 상담했는데 의견이 분분하더라고요. 경험 있으신 분 조언 부탁드려요.,user004,2024.09.15,1858,9,['보험 가입하시는 게 좋아요'],1,반려견 여행,https://gall.dcinside.com/board/view/?id=dog&no=10004,화물칸 환경이 걱정되는데 괜찮을까요? 진정제를 먹여야 하는지 수의사와 상담했는데 의견이 분분하더라고요. 경험 있으신 분 조언 부탁드려요.,보험 가입하시는 게 좋아요,화물칸 환경이 걱정되는데 괜찮을까요? 진정제를 먹여야 하는지 수의사와 상담했는데 의견이 분분하더라고요. 경험 있으신 분 조언 부탁드려요. 보험 가입하시는 게 좋아요,화물칸 환경이 걱정되는데 괜찮을까요 진정제를 먹여야 하는지 수의사와 상담했는데 의견이 분분하더라고요 경험 있으신 분 조언 부탁드려요 보험 가입하시는 게 좋아요,0.0,neutral,1858,9,09
dog,10005,반려견 화물칸 운송 후기 - 스트레스 많이 받네요,펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요. 미리 확인 필수입니다.,user005,2024.03.19,1660,23,"['미리 예약하면 할인 받을 수 있어요', '진정제는 오히려 위험할 수 있어요', '스트레스 완화용 페로몬 스프레이 추천', '화물칸 온도는 일정하게 유지됩니다', '성공 경험담 공유해드릴게요']",5,강아지 비행기,https://gall.dcinside.com/board/view/?id=dog&no=10005,반려견 화물칸 운송 후기 - 스트레스 많이 받네요 펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요. 미리 확인 필수입니다.,미리 예약하면 할인 받을 수 있어요 진정제는 오히려 위험할 수 있어요 스트레스 완화용 페로몬 스프레이 추천 화물칸 온도는 일정하게 유지됩니다 성공 경험담 공유해드릴게요,반려견 화물칸 운송 후기 - 스트레스 많이 받네요 펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요. 미리 확인 필수입니다. 미리 예약하면 할인 받을 수 있어요 진정제는 오히려 위험할 수 있어요 스트레스 완화용 페로몬 스프레이 추천 화물칸 온도는 일정하게 유지됩니다 성공 경험담 공유해드릴게요,반려견 화물칸 운송 후기 스트레스 많이 받네요 펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요 미리 확인 필수입니다 미리 예약하면 할인 받을 수 있어요 진정제는 오히려 위험할 수 있어요 스트레스 완화용 페로몬 스프레이 추천 화물칸 온도는 일정하게 유지됩니다 성공 경험담 공유해드릴게요,-0.8,negative,1660,23,03
dog,10006,화물칸 환경이 걱정되는데 괜찮을까요?,반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,user006,2024.04.25,745,44,"['성공 경험담 공유해드릴게요', '화물칸 온도는 일정하게 유지됩니다', '미리 예약하면 할인 받을 수 있어요']",3,비행기 여행,https://gall.dcinside.com/board/view/?id=dog&no=10006,화물칸 환경이 걱정되는데 괜찮을까요? 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요.,성공 경험담 공유해드릴게요 화물칸 온도는 일정하게 유지됩니다 미리 예약하면 할인 받을 수 있어요,화물칸 환경이 걱정되는데 괜찮을까요? 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요. 성공 경험담 공유해드릴게요 화물칸 온도는 일정하게 유지됩니다 미리 예약하면 할인 받을 수 있어요,화물칸 환경이 걱정되는데 괜찮을까요 반려동물이 캐리어 안에서 계속 울면 다른 승객들에게 피해가 될까봐 걱정이에요 성공 경험담 공유해드릴게요 화물칸 온도는 일정하게 유지됩니다 미리 예약하면 할인 받을 수 있어요,-0.8,negative,745,44,04
cat,10007,펫캐리어 안에서 강아지가 울면 어떡하죠?,지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요. 미리 준비를 더 했어야 했나 싶어요.,user007,2024.10.06,1597,35,"['저도 같은 고민이에요', '여행 전 건강검진 필수입니다', '스트레스 완화용 페로몬 스프레이 추천', '진정제는 오히려 위험할 수 있어요', '경험상 대형 항공사가 더 안전해요']",5,고양이 항공기,https://gall.dcinside.com/board/view/?id=dog&no=10007,펫캐리어 안에서 강아지가 울면 어떡하죠? 지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요. 미리 준비를 더 했어야 했나 싶어요.,저도 같은 고민이에요 여행 전 건강검진 필수입니다 스트레스 완화용 페로몬 스프레이 추천 진정제는 오히려 위험할 수 있어요 경험상 대형 항공사가 더 안전해요,펫캐리어 안에서 강아지가 울면 어떡하죠? 지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요. 미리 준비를 더 했어야 했나 싶어요. 저도 같은 고민이에요 여행 전 건강검진 필수입니다 스트레스 완화용 페로몬 스프레이 추천 진정제는 오히려 위험할 수 있어요 경험상 대형 항공사가 더 안전해요,펫캐리어 안에서 강아지가 울면 어떡하죠 지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요 미리 준비를 더 했어야 했나 싶어요 저도 같은 고민이에요 여행 전 건강검진 필수입니다 스트레스 완화용 페로몬 스프레이 추천 진정제는 오히려 위험할 수 있어요 경험상 대형 항공사가 더 안전해요,-0.8,negative,1597,35,10
cat,10008,반려견 진정제 먹이고 비행기 태워도 되나요?,지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요. 미리 준비를 더 했어야 했나 싶어요.,user008,2024.04.11,565,33,"['저도 같은 고민이에요', '스트레스 완화용 페로몬 스프레이 추천']",2,펫캐리어,https://gall.dcinside.com/board/view/?id=dog&no=10008,반려견 진정제 먹이고 비행기 태워도 되나요? 지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요. 미리 준비를 더 했어야 했나 싶어요.,저도 같은 고민이에요 스트레스 완화용 페로몬 스프레이 추천,반려견 진정제 먹이고 비행기 태워도 되나요? 지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요. 미리 준비를 더 했어야 했나 싶어요. 저도 같은 고민이에요 스트레스 완화용 페로몬 스프레이 추천,반려견 진정제 먹이고 비행기 태워도 되나요 지난달에 고양이랑 비행기 타고 왔는데 생각보다 스트레스를 많이 받더라고요 미리 준비를 더 했어야 했나 싶어요 저도 같은 고민이에요 스트레스 완화용 페로몬 스프레이 추천,-0.6,negative,565,33,04
cat,10009,펫캐리어 안에서 강아지가 울면 어떡하죠?,펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요. 미리 확인 필수입니다.,user009,2024.04.04,770,38,"['화물칸 온도는 일정하게 유지됩니다', '미리 예약하면 할인 받을 수 있어요', '저도 같은 고민이에요', '스트레스 완화용 페로몬 스프레이 추천', '성공 경험담 공유해드릴게요']",5,비행기 여행,https://gall.dcinside.com/board/view/?id=dog&no=10009,펫캐리어 안에서 강아지가 울면 어떡하죠? 펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요. 미리 확인 필수입니다.,화물칸 온도는 일정하게 유지됩니다 미리 예약하면 할인 받을 수 있어요 저도 같은 고민이에요 스트레스 완화용 페로몬 스프레이 추천 성공 경험담 공유해드릴게요,펫캐리어 안에서 강아지가 울면 어떡하죠? 펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요. 미리 확인 필수입니다. 화물칸 온도는 일정하게 유지됩니다 미리 예약하면 할인 받을 수 있어요 저도 같은 고민이에요 스트레스 완화용 페로몬 스프레이 추천 성공 경험담 공유해드릴게요,펫캐리어 안에서 강아지가 울면 어떡하죠 펫캐리어 사이즈 맞춰서 준비했는데 막상 공항에서 규정에 안 맞는다고 하더군요 미리 확인 필수입니다 화물칸 온도는 일정하게 유지됩니다 미리 예약하면 할인 받을 수 있어요 저도 같은 고민이에요 스트레스 완화용 페로몬 스프레이 추천 성공 경험담 공유해드릴게요,0.6,positive,770,38,04
